,team,TotalElo,HomeTotalElo,HomeWins,AwayWins,AwayTotalElo,HomeAttackElo,HomeDefenseElo,AwayAttackElo,AwayDefenseElo,AttHS,AttHST,AttHC,AttHF,AttHY,AttHR,AttFTHG,AttHTHG,AttCHS,AttCHST,AttCHC,AttCHF,AttCHY,AttCHR,AttCFTHG,AttCHTHG,AttAS,AttAST,AttAC,AttAF,AttAY,AttAR,AttFTAG,AttHTAG,AttCAS,AttCAST,AttCAC,AttCAF,AttCAY,AttCAR,AttCFTAG,AttCHTAG,ser
21,AFC Wimbledon,7.3,8.4,A,A,6.2,9.0,8.0,6.5,6,12.94,4.88,4.75,12.75,2.12,0.0,1.81,0.88,7.25,2.12,3.62,10.38,2.31,0.19,0.56,0.31,12.0,3.71,5.0,14.43,2.07,0.0,1.0,0.36,9.57,3.43,4.57,9.86,2.14,0.0,0.79,0.43,leagueTwo
122,AVS,3.2,4.6,A,A,1.8,1,7.0,0,3.0,10.91,3.09,3.18,12.45,2.55,0.18,0.82,0.18,12.91,4.27,4.91,12.45,1.55,0.0,1.27,0.82,9.82,2.18,4.0,14.36,2.82,0.18,0.73,0.55,14.18,5.18,5.18,11.45,1.27,0.0,1.64,1.0,portugal
13,AZ Alkmaar,8.45,8.1,A,A,8.8,8.0,8.5,9.0,8.0,16.75,6.08,5.75,9.25,1.0,0.08,1.92,0.5,9.58,3.17,2.75,10.42,2.17,0.0,1.0,0.5,12.18,4.73,5.82,10.82,2.09,0.09,1.45,0.82,9.18,2.45,4.64,11.73,2.45,0.45,0.82,0.18,ered
118,Aberdeen,5.1,7.0,A,A,3.2,7.0,7.0,2,4.0,12.77,4.0,5.62,11.08,2.69,0.0,1.54,0.54,10.08,3.23,4.38,15.54,2.69,0.15,1.23,0.62,10.62,4.0,5.38,11.31,2.62,0.08,1.08,0.38,18.15,5.69,8.15,10.23,1.69,0.0,1.77,0.77,scotchamp
34,Accrington,4.85,4.0,A,A,5.7,2.5,5.0,6,5.5,9.57,3.07,4.21,13.71,2.36,0.0,1.07,0.79,10.07,3.36,5.43,10.93,1.64,0.0,1.36,0.57,11.19,4.06,4.38,16.69,3.19,0.06,1.19,0.38,10.06,3.5,4.38,10.19,2.38,0.06,1.81,0.69,leagueTwo
9,Ajax,8.55,9.7,A,A,7.4,10.0,8.5,7.5,7.0,15.25,6.33,6.67,10.17,1.08,0.0,2.5,1.33,9.08,3.17,2.17,10.75,1.08,0.17,0.58,0.17,12.36,5.0,4.0,11.73,2.09,0.0,1.91,0.55,11.55,3.82,4.64,12.64,1.64,0.09,1.0,0.36,ered
101,Alaves,4.35,5.6,A,A,3.1,5.5,6,2.5,5.5,10.58,3.42,6.17,14.67,2.17,0.17,0.83,0.33,8.5,3.25,4.25,13.5,2.92,0.0,1.08,0.5,10.38,3.54,2.92,17.31,3.15,0.0,1.38,0.62,10.54,4.31,4.46,13.77,3.15,0.31,2.0,0.69,laliga
4,Almere City,1.45,2.1,A,A,0.8,1,6.5,0,4.0,11.91,3.91,4.27,10.55,1.27,0.27,0.82,0.27,13.64,5.82,6.45,9.73,1.64,0.09,2.55,0.91,9.83,2.83,3.67,11.25,2.17,0.0,0.5,0.42,15.67,5.42,7.08,7.92,1.0,0.08,1.58,0.75,ered
91,Anderlecht,6.25,8.2,A,A,4.3,8.5,8.0,2.5,5.5,15.77,5.69,5.54,8.54,1.23,0.0,2.08,1.0,10.92,4.38,3.62,13.23,2.15,0.15,1.0,0.54,10.92,4.38,5.08,10.46,2.0,0.15,1.38,0.46,15.69,4.85,6.62,12.46,2.0,0.23,0.77,0.46,jupiler
111,Angers,2.65,2.6,A,A,2.7,2,5,1.5,7.5,9.82,3.18,3.64,9.91,1.45,0.09,1.27,0.45,15.09,7.18,4.82,12.73,2.45,0.27,1.91,1.09,9.5,3.08,3.42,11.42,1.17,0.08,1.0,0.5,12.0,4.5,4.0,12.58,2.75,0.25,1.08,0.33,ligue1
103,Antwerp,4.3,5.1,A,A,3.5,4.5,5.5,2,4.5,14.92,5.67,5.83,10.42,1.83,0.0,2.38,0.92,15.33,6.33,4.33,9.5,2.0,0.08,1.08,0.67,11.54,4.23,5.38,12.0,2.23,0.15,1.08,0.69,14.31,5.38,5.69,12.38,2.31,0.08,1.15,0.46,jupiler
129,Arouca,3.4,3.5,A,A,3.3,0.5,5.5,3,3.5,11.3,3.3,6.7,15.4,2.5,0.1,0.7,0.2,12.0,3.3,4.6,12.0,1.9,0.0,1.1,0.4,11.92,3.75,5.75,14.33,3.0,0.17,1.17,0.75,14.67,4.5,6.0,14.25,2.83,0.17,1.92,0.92,portugal
22,Arsenal,7.35,9.3,A,A,5.4,9.5,8.5,5.0,7.0,17.38,6.15,7.92,11.31,1.69,0.15,2.08,0.92,7.69,2.31,1.85,9.92,2.23,0.0,0.85,0.23,10.38,3.77,4.69,11.38,2.23,0.23,1.85,0.92,12.15,4.23,3.77,11.46,2.54,0.08,0.92,0.54,prem
36,Aston Villa,4.75,7.0,A,A,2.5,7.0,7.0,2,4.5,15.0,5.27,7.8,11.2,1.87,0.0,1.67,0.73,10.07,3.53,3.27,12.67,3.13,0.07,1.2,0.53,10.08,3.0,4.83,12.42,2.08,0.17,1.17,0.5,14.17,5.17,5.75,14.08,2.0,0.08,1.92,0.75,prem
144,Atalanta,9.15,9.7,A,A,8.6,10.0,8.5,9.0,7.0,15.5,6.58,5.17,10.83,1.25,0.0,2.42,1.25,8.08,3.75,1.92,12.58,1.58,0.0,1.33,0.75,13.93,4.93,4.64,12.07,2.36,0.0,2.14,1.07,11.93,4.07,3.36,10.0,1.43,0.07,0.71,0.36,seriea
85,Ath Bilbao,8.35,9.2,A,A,7.5,9.5,8.0,7.5,7.5,14.77,5.46,5.62,13.0,1.77,0.08,2.0,1.23,7.38,2.38,3.62,10.08,2.15,0.08,0.62,0.08,12.67,3.92,5.75,12.33,1.67,0.17,1.5,0.58,9.17,3.75,3.75,11.5,2.5,0.08,1.17,0.5,laliga
102,Ath Madrid,6.0,8.0,A,A,4.0,8.0,8.0,3.5,6,14.69,5.77,6.0,10.92,2.46,0.15,1.85,0.38,7.46,2.0,3.54,12.38,2.08,0.0,0.62,0.38,9.75,3.42,3.58,10.08,2.0,0.0,1.5,0.75,14.17,4.17,4.42,10.92,1.08,0.0,0.67,0.42,laliga
67,Augsburg,4.5,6.5,A,A,2.5,6.5,6.5,2,4.5,13.91,4.91,6.45,11.18,2.82,0.09,1.27,0.64,11.0,3.82,5.27,11.45,2.18,0.18,1.09,0.55,9.08,2.5,3.17,11.25,2.42,0.08,1.08,0.5,14.67,5.58,5.0,11.67,1.17,0.08,1.92,1.0,bundesliga
110,Auxerre,4.5,5.0,A,A,4.0,4.5,7.0,3.5,6.0,11.5,4.75,3.0,10.58,1.67,0.08,1.67,0.75,12.08,4.67,6.42,11.75,1.33,0.08,0.83,0.5,10.64,4.36,4.09,13.0,2.09,0.27,1.27,0.82,13.73,5.82,5.09,11.27,1.55,0.0,2.45,0.82,ligue1
96,Barcelona,9.4,9.8,A,A,9.0,10.0,9.0,9.5,7.0,18.18,6.91,7.73,8.36,1.18,0.0,2.64,1.64,6.64,2.36,3.45,13.0,2.27,0.0,0.82,0.18,15.21,6.0,5.14,9.21,2.29,0.21,2.71,0.93,10.14,4.0,5.36,13.43,3.0,0.0,1.14,0.64,laliga
71,Bari,4.25,5.5,A,A,3.0,5.5,5.5,1.5,4,14.07,3.86,5.36,15.07,2.36,0.07,1.36,0.79,13.5,4.86,4.36,16.86,2.93,0.14,1.07,0.29,12.58,3.58,4.5,14.42,3.0,0.0,0.83,0.58,16.08,4.83,3.83,15.75,2.58,0.25,0.92,0.33,serieb
45,Barnsley,6.35,6.8,A,A,5.9,6.5,7.0,5.0,6.5,14.75,5.19,6.69,10.81,2.0,0.06,1.31,0.69,10.75,4.38,5.25,10.19,1.62,0.0,1.44,0.38,11.6,4.4,6.33,11.27,2.07,0.07,1.47,0.6,10.6,4.4,5.07,9.33,1.93,0.07,1.33,0.4,leagueOne
22,Barrow,6.55,7.8,A,A,5.3,7.5,8,2,7.5,11.38,4.94,5.62,9.88,1.69,0.06,1.62,0.75,8.5,3.12,4.12,12.44,2.38,0.06,1.0,0.38,10.27,3.07,4.8,10.33,2.27,0.0,0.53,0.33,9.73,3.73,5.47,11.6,2.67,0.07,1.33,0.6,leagueTwo
83,Bayern Munich,9.9,10.0,A,A,9.8,10.0,10.0,10.0,9.0,21.83,9.42,7.17,8.0,1.17,0.0,3.42,1.33,5.17,2.17,1.67,9.5,1.67,0.08,0.75,0.25,15.73,6.82,6.0,9.27,1.91,0.0,2.55,1.18,6.55,1.82,2.55,12.45,1.82,0.0,0.91,0.36,bundesliga
92,Beerschot VA,3.6,4.8,A,A,2.4,1.5,7.0,0,4.0,12.38,4.31,5.15,10.46,2.15,0.08,1.15,0.31,13.85,4.69,5.62,10.77,1.54,0.15,1.69,1.0,10.08,3.42,3.17,10.75,2.25,0.25,0.69,0.33,18.0,7.42,6.33,9.83,0.92,0.0,2.62,1.0,jupiler
134,Benfica,8.75,9.1,A,A,8.4,10.0,8.5,9.0,8.0,17.82,7.27,7.36,11.45,1.82,0.0,3.09,1.45,6.64,1.82,2.82,10.64,2.0,0.0,0.64,0.55,14.82,5.73,7.0,11.27,2.36,0.0,1.45,0.82,9.55,4.18,2.18,12.64,2.55,0.09,1.0,0.45,portugal
86,Betis,5.45,7.9,A,A,3.0,8.0,7.5,2.0,7.0,16.25,5.92,5.25,11.08,2.08,0.08,1.58,0.67,8.58,3.0,4.17,14.67,2.42,0.17,1.17,0.42,10.69,3.85,4.38,12.69,1.69,0.23,1.0,0.54,12.54,4.15,3.77,15.31,2.62,0.31,1.38,0.31,laliga
46,Birmingham,8.55,9.0,A,A,8.1,9.0,9.0,9.0,7.5,15.47,5.33,6.67,10.8,1.8,0.07,1.8,0.93,6.2,2.13,2.67,13.53,2.4,0.07,0.47,0.33,10.36,3.5,5.07,12.64,1.71,0.0,1.71,0.93,9.0,3.0,4.71,14.64,2.14,0.07,0.86,0.43,leagueOne
41,Blackburn,4.25,6.6,A,A,1.9,6.5,7.0,1.5,3.5,13.18,4.41,5.59,11.94,1.47,0.0,1.41,0.53,10.76,3.59,4.88,12.12,1.88,0.12,0.82,0.18,8.12,3.0,3.18,13.35,2.76,0.12,0.88,0.29,14.53,4.82,6.76,9.76,1.59,0.06,1.18,0.41,championship
59,Blackpool,7.45,6.8,A,A,8.1,6.5,7.0,9.0,7.5,15.21,4.64,5.5,10.79,1.57,0.0,1.36,0.5,12.71,4.0,5.43,13.07,1.86,0.07,1.36,0.43,11.71,4.06,4.53,9.94,1.71,0.0,1.53,1.0,11.0,3.94,4.47,13.12,2.29,0.06,1.47,0.76,leagueOne
137,Boavista,4.4,5.2,A,A,3.6,2.5,7.0,1.5,5.0,12.45,3.0,4.55,11.64,2.73,0.36,0.36,0.09,11.55,4.55,3.91,14.91,2.73,0.18,1.64,0.91,7.82,3.0,2.55,12.27,2.36,0.09,0.91,0.27,15.64,4.91,6.27,14.55,2.64,0.0,1.73,0.82,portugal
76,Bochum,3.75,6.1,A,A,1.4,6.0,6.5,1,3.0,14.64,4.0,5.18,13.0,1.73,0.0,1.09,0.55,13.0,3.73,5.09,9.73,1.64,0.09,1.64,0.91,11.58,3.92,3.92,14.92,2.25,0.08,0.83,0.58,16.17,5.75,6.08,8.25,1.42,0.08,2.42,0.92,bundesliga
129,Bologna,7.35,8.0,A,A,6.7,8.0,8.0,7.0,5.5,17.08,5.5,5.92,13.83,1.5,0.17,1.67,0.58,8.58,2.58,3.33,15.42,2.75,0.17,0.92,0.42,11.08,4.31,3.23,15.08,1.69,0.08,1.38,0.54,10.08,3.15,3.38,16.62,1.62,0.0,1.54,0.54,seriea
68,Bolton,6.2,7.5,A,A,4.9,7.5,7.5,2.5,6.5,15.12,5.06,6.0,11.56,2.25,0.0,1.81,0.56,9.62,3.38,4.38,15.0,3.19,0.19,1.56,0.69,10.4,3.6,3.87,12.27,3.2,0.0,1.4,0.47,12.47,4.53,5.4,12.4,2.2,0.07,1.53,0.6,leagueOne
37,Bournemouth,5.15,6.6,A,A,3.7,7.0,5.0,3.5,4.5,16.77,5.92,6.23,13.85,2.15,0.08,1.31,0.54,12.31,3.62,5.31,10.08,2.77,0.15,0.77,0.23,14.77,5.62,6.08,12.69,3.0,0.0,2.08,0.69,15.31,6.54,5.46,10.77,2.23,0.0,1.54,0.85,prem
35,Bradford,6.45,8.2,A,A,4.7,8.5,8.0,2.0,6.5,12.0,4.56,5.31,13.12,2.69,0.0,1.62,0.94,9.0,2.56,3.75,11.62,2.5,0.12,0.62,0.12,10.07,2.8,5.27,12.13,2.27,0.13,0.93,0.53,11.07,3.73,5.2,11.13,1.6,0.0,1.2,0.87,leagueTwo
16,Braunschweig,3.9,4.7,A,A,3.1,3.5,5.5,1,4.5,13.0,5.09,4.64,12.09,2.73,0.09,1.09,0.55,14.45,3.91,4.82,13.64,3.18,0.09,1.09,0.36,10.45,3.45,5.09,11.27,2.64,0.27,0.82,0.36,16.82,6.0,6.55,11.09,1.27,0.09,2.45,1.27,bundesliga2
27,Brentford,4.65,6.4,A,A,2.9,6.5,6.0,2.5,4.5,13.31,5.92,5.46,6.92,1.46,0.0,2.23,1.23,16.31,4.92,5.62,10.54,2.15,0.08,1.92,0.85,10.08,4.23,3.85,8.92,1.31,0.08,1.38,0.69,19.31,6.92,7.92,9.31,1.77,0.08,1.31,0.69,prem
70,Brescia,4.35,6.5,A,A,2.2,8.0,5.5,1,3.0,14.92,5.08,4.62,15.69,2.69,0.0,1.54,0.77,13.31,4.15,3.62,12.62,2.69,0.23,1.54,0.69,12.62,3.54,4.15,13.62,2.62,0.08,0.85,0.38,15.23,5.15,5.62,14.31,2.38,0.15,1.23,0.54,serieb
107,Brest,5.35,8.2,A,A,2.5,8.5,7.0,1.5,6.5,12.36,5.73,3.91,12.36,1.91,0.09,2.09,1.0,10.45,3.64,4.18,12.73,1.82,0.09,1.55,0.64,11.25,4.17,4.25,12.33,1.58,0.0,1.0,0.5,13.5,5.0,4.58,12.25,2.25,0.08,1.75,1.08,ligue1
30,Brighton,7.4,7.1,A,A,7.7,7.0,7.5,8,6.5,16.0,4.58,5.67,12.25,2.08,0.0,1.42,0.58,9.5,3.17,4.42,12.75,3.0,0.08,1.17,0.67,12.5,5.21,4.71,11.64,1.93,0.07,1.79,0.71,12.36,4.36,5.86,10.64,1.93,0.14,1.71,0.79,prem
57,Bristol City,5.55,7.7,A,A,3.4,7.5,8.5,2.5,7.0,14.12,4.53,5.82,9.35,1.35,0.06,1.47,0.53,9.41,2.76,3.76,12.24,2.18,0.0,0.76,0.24,11.59,3.65,5.24,11.94,2.06,0.12,1.06,0.29,13.94,4.35,4.71,11.35,2.0,0.0,1.47,0.53,championship
47,Bristol Rvs,3.85,5.0,A,A,2.7,2,7.0,0,4.5,9.47,3.33,4.47,10.47,1.93,0.07,1.47,0.53,13.6,4.53,6.8,11.67,2.07,0.0,1.27,0.4,8.6,2.47,3.8,11.53,1.93,0.13,0.67,0.13,16.2,6.73,5.53,11.67,1.73,0.13,1.8,1.07,leagueOne
32,Bromley,4.75,5.2,A,A,4.3,2.5,7.0,2.5,5.5,12.8,3.87,6.0,11.87,1.13,0.07,1.33,0.53,13.2,4.07,4.6,11.47,2.53,0.07,1.33,0.4,9.88,3.62,4.25,9.94,1.81,0.31,1.31,0.56,14.25,4.5,5.88,10.19,1.5,0.06,1.25,0.5,leagueTwo
58,Burnley,7.05,7.4,A,A,6.7,7.0,9.0,6.5,7.5,12.41,3.76,6.59,10.94,1.59,0.06,1.29,0.59,8.47,2.12,2.88,11.35,2.06,0.06,0.24,0.18,10.76,3.76,4.18,13.41,2.06,0.06,1.24,0.65,10.53,2.65,4.71,11.06,2.0,0.06,0.29,0.18,championship
48,Burton,4.55,5.2,A,A,3.9,2.5,7.0,1.5,5.5,9.38,3.31,3.69,9.94,1.88,0.12,1.19,0.88,13.62,4.75,5.06,11.25,2.12,0.0,1.62,0.56,9.0,3.13,4.67,10.8,2.0,0.07,0.87,0.33,14.47,4.8,6.73,8.87,1.53,0.0,1.47,0.6,leagueOne
131,Cagliari,4.15,6.2,A,A,2.1,6.0,7.0,1.5,4.5,14.29,4.14,6.14,13.21,1.14,0.0,1.07,0.21,12.29,4.0,4.64,11.36,1.43,0.07,1.64,0.64,9.75,2.5,4.33,12.83,2.5,0.25,0.92,0.33,15.5,5.17,5.33,10.58,2.0,0.25,1.42,0.75,seriea
60,Cambridge,4.8,6.6,A,A,3.0,6.0,7.0,0,5.0,12.2,4.13,4.33,13.13,2.33,0.13,1.2,0.53,11.07,4.07,3.8,12.4,2.67,0.07,1.53,0.73,9.19,2.81,4.38,11.25,1.69,0.0,0.75,0.38,14.38,5.44,5.62,13.38,1.81,0.06,2.06,1.12,leagueOne
43,Cardiff,4.35,6.2,A,A,2.5,6.0,7.0,1.5,6.5,14.19,5.5,6.19,11.44,1.62,0.12,1.19,0.38,10.62,4.56,4.75,10.88,2.0,0.06,1.25,0.25,10.24,3.29,3.53,12.18,2.12,0.06,1.0,0.59,13.65,4.47,5.53,11.24,1.94,0.0,2.06,1.06,championship
33,Carlisle,4.55,5.2,A,A,3.9,2.5,7.0,0,6.5,12.07,3.67,5.87,10.67,2.53,0.13,0.73,0.53,10.0,3.67,4.27,12.53,2.13,0.07,1.53,0.73,11.06,3.5,4.75,11.69,3.0,0.0,0.75,0.25,13.62,4.75,5.62,12.0,2.12,0.06,1.62,0.69,leagueTwo
86,Carrarese,4.8,6.4,A,A,3.2,5.5,7.0,0.5,5.0,13.77,4.23,4.62,13.08,2.15,0.0,1.15,0.46,13.46,3.38,4.62,13.54,2.31,0.15,0.85,0.31,10.0,3.46,4.62,12.77,2.08,0.08,0.69,0.31,14.77,5.69,4.38,14.77,2.31,0.0,1.69,0.85,serieb
123,Casa Pia,3.6,4.4,A,A,2.8,3.5,5.0,2.5,3.0,11.55,3.91,4.82,14.0,2.82,0.18,1.36,0.82,12.45,5.0,4.55,12.0,2.45,0.0,0.91,0.36,9.09,3.55,3.45,15.82,2.0,0.0,1.27,0.55,15.73,5.64,5.91,11.09,1.91,0.09,1.64,0.82,portugal
75,Catanzaro,4.9,6.6,A,A,3.2,7.5,6.0,2,4,12.0,4.36,4.36,14.21,2.07,0.0,1.43,0.86,10.71,2.71,4.71,13.14,2.71,0.07,0.86,0.57,11.0,3.58,3.08,14.33,2.08,0.17,1.17,0.33,15.67,4.67,4.75,12.5,2.58,0.08,1.17,0.75,serieb
87,Celta,5.8,7.0,A,A,4.6,7.0,7.0,4,7.0,10.62,4.77,3.77,11.92,1.92,0.0,1.69,0.62,10.31,3.08,3.85,12.15,1.85,0.31,1.0,0.54,11.5,3.5,3.5,11.58,2.75,0.33,1.17,0.58,11.42,4.75,4.25,12.83,2.83,0.08,2.08,0.83,laliga
112,Celtic,9.25,9.7,A,A,8.8,10.0,9.5,10.0,8,21.23,7.46,10.85,9.46,0.77,0.0,3.31,1.62,5.85,2.38,2.62,8.23,2.46,0.0,0.15,0.0,16.85,7.08,7.77,9.08,1.15,0.0,2.54,1.0,8.31,3.08,3.31,10.08,1.92,0.08,0.77,0.31,scotchamp
104,Cercle Brugge,5.4,7.4,A,A,3.4,6.5,8,1,5.0,15.69,5.15,6.85,10.46,1.38,0.15,1.23,0.62,9.85,3.77,4.31,13.31,2.38,0.08,1.15,0.46,11.46,4.23,5.08,10.15,1.69,0.15,0.85,0.54,14.23,5.54,5.23,9.08,1.46,0.23,1.69,0.92,jupiler
76,Cesena,6.1,6.5,A,A,5.7,8.0,5.5,6.0,5.5,12.15,4.92,4.62,13.38,3.0,0.23,1.62,0.92,11.38,3.38,3.92,14.54,2.31,0.15,1.15,0.38,12.23,4.69,4.38,14.69,2.85,0.08,1.0,0.38,10.69,3.77,3.31,14.08,2.85,0.15,1.54,0.92,serieb
93,Charleroi,6.95,7.8,A,A,6.1,7.5,8,4.0,7.5,15.62,5.46,5.15,10.92,1.92,0.08,1.31,0.62,9.31,3.31,4.38,9.31,1.46,0.08,0.77,0.38,13.46,4.46,5.15,10.0,2.23,0.15,1.0,0.69,12.62,4.54,4.69,8.92,1.77,0.0,1.46,0.54,jupiler
57,Charlton,6.05,8.1,A,A,4.0,7.5,8.5,2.5,5.0,12.75,4.75,6.19,13.12,1.56,0.0,1.31,0.44,8.12,2.0,2.69,11.69,1.94,0.12,0.69,0.31,10.33,3.47,5.07,14.6,2.6,0.07,1.27,0.33,12.73,3.8,6.4,9.87,2.13,0.07,1.27,0.47,leagueOne
28,Chelsea,8.55,8.2,A,A,8.9,8.5,7.0,9.5,6.5,18.0,6.58,5.67,12.33,3.0,0.08,1.83,1.0,11.5,4.58,3.5,11.25,2.08,0.08,1.25,0.5,14.21,5.07,6.21,11.64,2.64,0.0,1.86,0.86,11.14,5.0,3.71,13.36,3.07,0.07,1.5,0.71,prem
23,Cheltenham,5.75,6.5,A,A,5.0,6.5,6.5,2,7.0,11.88,4.38,3.81,11.5,1.56,0.0,1.56,0.38,11.75,3.94,5.88,11.56,2.25,0.06,1.31,0.62,8.86,2.86,4.21,11.29,1.57,0.0,1.07,0.57,13.21,4.14,5.21,13.64,1.93,0.0,1.57,0.5,leagueTwo
20,Chesterfield,8.25,8.4,A,A,8.1,9.0,8,9.0,7.5,13.53,4.87,6.2,9.2,1.73,0.07,1.67,0.8,8.93,3.2,3.47,12.6,2.87,0.2,1.13,0.53,10.67,4.0,5.6,10.67,2.07,0.13,1.6,0.87,10.0,3.6,4.6,13.53,2.53,0.2,1.33,0.6,leagueTwo
87,Cittadella,3.05,3.9,A,A,2.2,1.5,5.5,1,3.0,11.83,3.67,4.58,16.42,3.17,0.08,0.83,0.33,11.83,4.0,3.58,15.67,2.5,0.08,1.08,0.58,10.43,2.93,3.71,13.36,3.07,0.07,0.79,0.36,15.29,5.71,6.21,16.64,2.07,0.0,1.57,0.79,serieb
94,Club Brugge,8.95,9.4,A,A,8.5,10.0,9.0,10.0,7.5,18.92,7.85,6.23,9.31,0.92,0.0,2.54,1.08,8.92,2.85,2.92,10.77,2.23,0.15,1.08,0.38,16.0,6.23,5.77,9.23,1.62,0.08,1.77,0.92,11.0,4.38,4.92,10.62,2.08,0.08,1.23,0.38,jupiler
36,Colchester,5.9,7.1,A,A,4.7,6.5,7.5,2,6.5,13.73,4.53,6.13,11.33,2.13,0.0,1.27,0.53,9.53,3.47,3.73,13.33,2.4,0.27,0.73,0.4,9.53,3.07,3.8,11.67,2.07,0.07,1.07,0.53,12.27,3.53,5.2,13.0,2.33,0.07,1.27,0.53,leagueTwo
143,Como,5.7,7.6,A,A,3.8,8.0,6,3,7.0,14.23,5.23,5.31,13.85,2.31,0.23,1.62,0.69,9.31,3.38,3.69,14.54,2.62,0.23,1.62,0.46,12.38,3.92,3.77,13.08,2.15,0.08,0.85,0.23,10.15,4.46,4.54,13.46,2.31,0.08,1.54,0.69,seriea
77,Cosenza,4.05,5.7,A,A,2.4,6.0,5.5,1.5,3.0,16.69,4.46,5.54,15.15,3.23,0.15,0.77,0.46,10.62,3.54,4.38,15.31,2.38,0.15,0.92,0.46,13.54,4.15,3.38,14.38,3.54,0.31,1.0,0.38,15.69,5.62,6.69,15.85,2.85,0.15,1.62,0.69,serieb
53,Coventry,5.8,8.8,A,A,2.8,9.0,8,2,6.0,15.76,5.82,7.29,10.18,1.71,0.0,1.65,0.82,9.71,3.12,3.94,11.0,2.29,0.18,1.18,0.76,10.29,3.12,5.12,11.88,1.35,0.0,1.06,0.53,13.35,4.47,7.24,9.71,1.53,0.12,1.29,0.47,championship
49,Crawley Town,4.45,4.4,A,A,4.5,2,6.0,1.5,6.5,10.21,3.07,3.86,10.5,2.5,0.07,1.29,0.43,10.36,4.14,7.0,12.79,2.14,0.0,1.57,0.71,11.81,4.25,5.25,10.75,2.31,0.06,1.0,0.44,13.62,4.94,5.31,11.75,1.5,0.0,2.0,0.88,leagueOne
81,Cremonese,6.9,7.5,A,A,6.3,7.5,7.5,7.5,5.5,17.54,5.08,5.77,13.69,1.69,0.0,1.31,0.54,8.92,3.23,3.38,14.69,2.15,0.15,1.15,0.62,14.15,4.38,5.0,15.77,3.23,0.08,1.62,0.69,12.54,3.85,4.54,15.15,2.31,0.0,0.92,0.69,serieb
37,Crewe,5.35,5.9,A,A,4.8,5,6.5,1.5,7.0,11.67,3.93,4.73,12.0,2.27,0.07,1.4,0.8,11.87,3.87,6.07,13.2,2.33,0.13,1.07,0.8,8.59,2.65,4.47,11.0,2.35,0.12,0.88,0.0,12.24,3.0,4.94,12.53,1.59,0.06,0.88,0.53,leagueTwo
31,Crystal Palace,5.35,5.4,A,A,5.3,5,7.0,5.0,6.5,14.38,5.08,5.0,9.92,1.77,0.08,0.92,0.31,12.23,4.08,6.31,12.69,1.92,0.08,1.62,0.77,13.08,5.0,4.69,11.31,2.23,0.0,1.46,0.46,13.62,3.69,5.62,10.31,1.77,0.08,0.85,0.23,prem
7,Darmstadt,5.65,6.9,A,A,4.4,7.5,6.5,3.5,5.0,14.36,5.18,4.73,11.73,2.36,0.18,1.55,0.82,10.0,3.82,5.45,13.64,3.73,0.09,1.27,0.64,15.18,6.0,5.18,10.82,2.73,0.09,1.91,0.64,16.18,6.18,4.55,11.45,2.73,0.0,2.09,0.91,bundesliga2
95,Dender,4.85,5.1,A,A,4.6,1.5,7.5,4.0,5.0,8.77,2.92,4.31,10.38,1.92,0.08,1.08,0.54,13.08,4.23,4.38,10.15,1.69,0.08,1.31,0.62,11.15,3.62,4.08,11.23,1.77,0.08,1.31,0.92,16.31,6.08,4.15,9.92,1.0,0.0,2.08,1.0,jupiler
54,Derby,4.1,6.1,A,A,2.1,6.0,6.5,1,6.5,12.71,3.76,5.29,12.0,1.65,0.0,1.12,0.53,10.12,3.29,5.12,9.18,1.47,0.0,0.94,0.35,8.35,2.76,5.18,11.94,2.06,0.0,0.82,0.18,13.12,4.65,5.53,8.82,1.47,0.0,1.82,0.71,championship
24,Doncaster,7.55,8.1,A,A,7.0,7.5,8.5,10.0,5.0,15.25,4.69,5.88,11.94,0.88,0.12,1.38,0.38,7.81,2.88,4.69,12.31,2.06,0.06,1.06,0.38,13.4,4.67,5.8,13.4,2.47,0.2,1.53,0.87,10.47,3.33,5.2,11.13,2.07,0.13,1.47,0.67,leagueTwo
72,Dortmund,6.55,9.7,A,A,3.4,10.0,8.5,2.5,7.0,15.33,5.58,6.17,10.25,2.17,0.17,2.58,1.08,9.0,3.25,2.83,9.67,2.0,0.17,1.25,0.58,11.45,3.45,5.0,9.36,2.36,0.36,1.09,0.55,12.27,5.64,4.91,12.18,2.0,0.18,2.09,1.18,bundesliga
116,Dundee,4.0,4.4,A,A,3.6,3.5,5.0,1.5,5.0,12.36,4.14,4.86,9.21,1.57,0.07,1.86,1.0,15.93,5.07,5.5,10.93,1.86,0.07,2.21,1.0,8.58,3.33,4.67,10.08,2.33,0.0,1.0,0.58,16.75,5.25,5.17,10.67,1.75,0.0,2.0,0.83,scotchamp
110,Dundee United,4.75,6.0,A,A,3.5,4.5,7.0,2,4.5,11.25,4.0,5.42,11.17,2.75,0.0,1.33,0.42,12.25,3.92,4.58,10.5,2.08,0.33,1.0,0.42,11.71,3.71,3.57,11.29,2.36,0.07,1.14,0.21,16.14,4.71,7.43,8.29,1.07,0.07,1.36,0.57,scotchamp
